country,year,hdi,region,attacks_count,total_casualty,log_attacks,log_casualties,hdi_group,casualties_per_attack,log_casualties_per_attack
Afghanistan,1990,0.273,South Asia,2,134,1.09861228866811,4.90527477843843,Low,67,4.21950770517611
Albania,1990,0.647,Eastern Europe,1,0,0.693147180559945,0,Medium,0,0
Argentina,1990,0.723,South America,31,2,3.46573590279973,1.09861228866811,High,0.0645161290322581,0.062520356981334
Austria,1990,0.825,Western Europe,1,0,0.693147180559945,0,Very High,0,0
Belgium,1990,0.816,Western Europe,2,2,1.09861228866811,1.09861228866811,Very High,1,0.693147180559945
Bangladesh,1990,0.397,South Asia,22,198,3.13549421592915,5.29330482472449,Low,9,2.30258509299405
Bulgaria,1990,0.684,Eastern Europe,5,0,1.79175946922806,0,Medium,0,0
Bolivia,1990,0.55,South America,11,39,2.484906649788,3.68887945411394,Low,3.54545454545455,1.51412773262978
Brazil,1990,0.61,South America,7,7,2.07944154167984,2.07944154167984,Medium,1,0.693147180559945
Botswana,1990,0.586,Sub-Saharan Africa,1,6,0.693147180559945,1.94591014905531,Medium,6,1.94591014905531
Switzerland,1990,0.851,Western Europe,1,1,0.693147180559945,0.693147180559945,Very High,1,0.693147180559945
Chile,1990,0.706,South America,161,46,5.08759633523238,3.85014760171006,High,0.285714285714286,0.251314428280906
China,1990,0.484,East Asia,1,12,0.693147180559945,2.56494935746154,Low,12,2.56494935746154
Colombia,1990,0.61,South America,349,1428,5.85793315448346,7.26473017792987,Medium,4.09169054441261,1.62760990595222
Costa Rica,1990,0.66,Central America & Caribbean,1,0,0.693147180559945,0,Medium,0,0
Cyprus,1990,0.716,Western Europe,11,2,2.484906649788,1.09861228866811,High,0.181818181818182,0.167054084663166
Germany,1990,0.829,Western Europe,1,0,0.693147180559945,0,Very High,0,0
Dominican Republic,1990,0.577,Central America & Caribbean,2,6,1.09861228866811,1.94591014905531,Medium,3,1.38629436111989
Algeria,1990,0.591,Middle East & North Africa,2,4,1.09861228866811,1.6094379124341,Medium,2,1.09861228866811
Ecuador,1990,0.651,South America,8,9,2.19722457733622,2.30258509299405,Medium,1.125,0.75377180237638
Egypt,1990,0.572,Middle East & North Africa,13,53,2.63905732961526,3.98898404656428,Medium,4.07692307692308,1.62470538456489
Spain,1990,0.757,Western Europe,113,170,4.7361984483945,5.14166355650266,High,1.50442477876106,0.918059078930897
France,1990,0.791,Western Europe,30,6,3.43398720448515,1.94591014905531,High,0.2,0.182321556793955
United Kingdom,1990,0.804,Western Europe,147,199,4.99721227376412,5.29831736654804,Very High,1.35374149659864,0.856006188278988
Greece,1990,0.759,Western Europe,55,12,4.02535169073515,2.56494935746154,High,0.218181818181818,0.197359434158495
Guatemala,1990,0.484,Central America & Caribbean,83,110,4.43081679884331,4.70953020131233,Low,1.32530120481928,0.843849581108288
Guyana,1990,0.509,South America,5,3,1.79175946922806,1.38629436111989,Low,0.6,0.470003629245736
Hong Kong,1990,0.788,East Asia,1,0,0.693147180559945,0,High,0,0
Honduras,1990,0.516,Central America & Caribbean,13,16,2.63905732961526,2.83321334405622,Low,1.23076923076923,0.802346472524937
Haiti,1990,0.429,Central America & Caribbean,3,119,1.38629436111989,4.78749174278205,Low,39.6666666666667,3.70540875606515
Indonesia,1990,0.526,Southeast Asia,3,12,1.38629436111989,2.56494935746154,Low,4,1.6094379124341
India,1990,0.434,South Asia,349,1949,5.85793315448346,7.57558465155779,Low,5.58452722063037,1.88472253620627
Ireland,1990,0.737,Western Europe,2,0,1.09861228866811,0,High,0,0
Iran,1990,0.601,Middle East & North Africa,11,12,2.484906649788,2.56494935746154,Medium,1.09090909090909,0.737598943130779
Israel,1990,0.787,Middle East & North Africa,81,229,4.40671924726425,5.4380793089232,High,2.82716049382716,1.34212314280675
Italy,1990,0.778,Western Europe,6,0,1.94591014905531,0,High,0,0
Jordan,1990,0.622,Middle East & North Africa,3,5,1.38629436111989,1.79175946922806,Medium,1.66666666666667,0.980829253011726
Japan,1990,0.845,East Asia,93,127,4.54329478227,4.85203026391962,Very High,1.36559139784946,0.861028053199106
Cambodia,1990,0.378,Southeast Asia,2,0,1.09861228866811,0,Low,0,0
South Korea,1990,0.737,East Asia,3,1,1.38629436111989,0.693147180559945,High,0.333333333333333,0.287682072451781
Sri Lanka,1990,0.636,South Asia,140,1674,4.94875989037817,7.42356844425917,Medium,11.9571428571429,2.56164720806578
Mexico,1990,0.662,North America,5,4,1.79175946922806,1.6094379124341,Medium,0.8,0.587786664902119
Mali,1990,0.237,Sub-Saharan Africa,1,15,0.693147180559945,2.77258872223978,Low,15,2.77258872223978
Myanmar,1990,0.333,Southeast Asia,9,122,2.30258509299405,4.81218435537242,Low,13.5555555555556,2.67797274586493
Mozambique,1990,0.238,Sub-Saharan Africa,23,311,3.17805383034795,5.74300318780948,Low,13.5217391304348,2.67564677704755
Malaysia,1990,0.64,Southeast Asia,3,3,1.38629436111989,1.38629436111989,Medium,1,0.693147180559945
Namibia,1990,0.579,Sub-Saharan Africa,2,0,1.09861228866811,0,Medium,0,0
Nicaragua,1990,0.49,Central America & Caribbean,15,31,2.77258872223978,3.46573590279973,Low,2.06666666666667,1.12059119538689
Netherlands,1990,0.847,Western Europe,6,3,1.94591014905531,1.38629436111989,Very High,0.5,0.405465108108164
Pakistan,1990,0.4,South Asia,87,674,4.47733681447821,6.51471269087253,Low,7.74712643678161,2.1687252392071
Panama,1990,0.669,Central America & Caribbean,15,56,2.77258872223978,4.04305126783455,Medium,3.73333333333333,1.55462967593911
Peru,1990,0.621,South America,495,1383,6.20657592672493,7.23273313617762,Medium,2.79393939393939,1.33340489719952
Philippines,1990,0.598,Southeast Asia,320,797,5.77144112313002,6.68210859744981,Medium,2.490625,1.25008080327543
Papua New Guinea,1990,0.37,Australasia & Oceania,18,24,2.94443897916644,3.2188758248682,Low,1.33333333333333,0.847297860387204
Poland,1990,0.716,Eastern Europe,7,2,2.07944154167984,1.09861228866811,High,0.285714285714286,0.251314428280906
Sudan,1990,0.336,Sub-Saharan Africa,1,0,0.693147180559945,0,Low,0,0
Senegal,1990,0.373,Sub-Saharan Africa,11,85,2.484906649788,4.45434729625351,Low,7.72727272727273,2.16645291866947
El Salvador,1990,0.525,Central America & Caribbean,184,516,5.22035582507832,6.24804287450843,Low,2.80434782608696,1.33614457743442
Sweden,1990,0.81,Western Europe,6,12,1.94591014905531,2.56494935746154,Very High,2,1.09861228866811
Thailand,1990,0.576,Southeast Asia,10,76,2.39789527279837,4.34380542185368,Medium,7.6,2.15176220325946
Turkey,1990,0.6,Middle East & North Africa,195,731,5.27811465923052,6.59578051396131,Medium,3.74871794871795,1.55787467608243
Uganda,1990,0.329,Sub-Saharan Africa,14,115,2.70805020110221,4.75359019110636,Low,8.21428571428571,2.22075507474641
Uruguay,1990,0.701,South America,1,0,0.693147180559945,0,High,0,0
United States,1990,0.872,North America,32,12,3.49650756146648,2.56494935746154,Very High,0.375,0.318453731118535
Venezuela,1990,0.659,South America,1,0,0.693147180559945,0,Medium,0,0
South Africa,1990,0.632,Sub-Saharan Africa,154,443,5.04342511691925,6.09582456243223,Medium,2.87662337662338,1.35496451097897
Zambia,1990,0.412,Sub-Saharan Africa,4,42,1.6094379124341,3.76120011569356,Low,10.5,2.4423470353692
Zimbabwe,1990,0.509,Sub-Saharan Africa,6,23,1.94591014905531,3.17805383034795,Low,3.83333333333333,1.57553636075842
Afghanistan,1991,0.279,South Asia,30,195,3.43398720448515,5.27811465923052,Low,6.5,2.01490302054227
Albania,1991,0.629,Eastern Europe,1,0,0.693147180559945,0,Medium,0,0
Argentina,1991,0.73,South America,27,8,3.3322045101752,2.19722457733622,High,0.296296296296296,0.259511195485085
Armenia,1991,0.649,Central Asia,1,0,0.693147180559945,0,Medium,0,0
Australia,1991,0.867,Australasia & Oceania,4,0,1.6094379124341,0,Very High,0,0
Austria,1991,0.829,Western Europe,3,0,1.38629436111989,0,Very High,0,0
Burundi,1991,0.292,Sub-Saharan Africa,7,158,2.07944154167984,5.06890420222023,Low,22.5714285714286,3.16003532484527
Belgium,1991,0.819,Western Europe,6,1,1.94591014905531,0.693147180559945,Very High,0.166666666666667,0.154150679827258
Bangladesh,1991,0.394,South Asia,42,523,3.76120011569356,6.26149168432104,Low,12.452380952381,2.59915611286307
Bulgaria,1991,0.684,Eastern Europe,3,0,1.38629436111989,0,Medium,0,0
Bahrain,1991,0.743,Middle East & North Africa,1,1,0.693147180559945,0.693147180559945,High,1,0.693147180559945
Belize,1991,0.6,Central America & Caribbean,3,2,1.38629436111989,1.09861228866811,Medium,0.666666666666667,0.510825623765991
Bolivia,1991,0.56,South America,28,8,3.36729582998647,2.19722457733622,Medium,0.285714285714286,0.251314428280906
Brazil,1991,0.616,South America,24,29,3.2188758248682,3.40119738166216,Medium,1.20833333333333,0.792238083204176
Central African Republic,1991,0.333,Sub-Saharan Africa,4,10,1.6094379124341,2.39789527279837,Low,2.5,1.25276296849537
Switzerland,1991,0.853,Western Europe,2,4,1.09861228866811,1.6094379124341,Very High,2,1.09861228866811
Chile,1991,0.715,South America,127,46,4.85203026391962,3.85014760171006,High,0.362204724409449,0.309104508039188
China,1991,0.492,East Asia,1,0,0.693147180559945,0,Low,0,0
Cameroon,1991,0.449,Sub-Saharan Africa,4,36,1.6094379124341,3.61091791264422,Low,9,2.30258509299405
Colombia,1991,0.619,South America,420,1162,6.04263283368238,7.05875815251866,Medium,2.76666666666667,1.32619043705019
